num_lines,avg_line_length,ratio_space,api_density,count_string_literals,file_length,count_semicolon,ratio_special,count_square,count_double_quote,count_paren,max_line_length,ratio_alpha,entropy_strings,count_bracket,ratio_digit,ratio_uppercase,entropy_full,count_function_expr,unique_chars,count_var,api_eval,count_pipe,obfusc_score,count_plus,hex_encoded_chars,count_ternary,count_this,count_percent,count_for,max_nesting_depth,count_if,count_single_quote,count_function_decl,count_regex,count_bracket_access,count_very_long_lines,api_src_assign,count_urls,count_prototype,label,filename,split
2203.0,7.793009532455742,0.1461439888164026,2.795899347623485,27.0,17168.0,393.0,0.5046598322460392,558.0,96.0,324.0,4398.0,0.1864515377446411,0.3809465857053901,32.0,0.162744641192917,0.0413560111835973,4.131621911543161,0.0,90.0,25.0,46.0,2.0,246.0,24.0,328.0,6289.0,0.0,3.0,0.0,3.0,0.0,8.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,1,malicious/20161208_e6d64a781af4e22dc7256cee92b5f3c2.js,train
1.0,56.0,0.0357142857142857,0.0,0.0,56.0,1.0,0.1964285714285714,0.0,0.0,6.0,56.0,0.7678571428571429,0.0,0.0,0.0,0.0714285714285714,4.532639243749494,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,benign/44b64b2e78fbfee9e315c0e70aaf9f49.js,train
7.0,18.571428571428573,0.1846153846153846,0.0,8.0,130.0,1.0,0.2230769230769231,0.0,16.0,0.0,26.0,0.5923076923076923,-0.0,2.0,0.0,0.1076923076923077,4.528174876273989,0.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,benign/05e56bc0c389d711f8b80eaa78cb68a0.js,train
306.0,86.66993464052288,0.090871384940236,1.0180611590814823,138.0,26521.0,180.0,0.0868745522416198,130.0,288.0,388.0,7085.0,0.7334942121337807,0.1892784312612016,88.0,0.0887598506843633,0.2579842389050186,5.88466702456721,9.0,93.0,63.0,2.0,11.0,123.0,88.0,6.0,2.0,3.0,9.0,6.0,3.0,23.0,11.0,11.0,14.0,4.0,5.0,0.0,0.0,1.0,1,malicious/20161111_7fe1e694cfe1127c973daf2cc59fc4d9.js,train
117.0,89.62393162393163,0.0310890711424756,1.7165744802593934,70.0,10486.0,358.0,0.1759488842265878,568.0,146.0,186.0,269.0,0.576387564371543,0.2552421131901918,34.0,0.2165744802593934,0.1146290291817661,5.333610451846481,1.0,88.0,36.0,16.0,2.0,90.0,18.0,83.0,0.0,1.0,1.0,4.0,3.0,5.0,6.0,6.0,2.0,19.0,0.0,0.0,0.0,1.0,1,malicious/20161128_9ac4ba3c8bebf9fd45610b3d037c9b09.js,train
60.0,487.1,0.0078697050571409,4.208581400123178,468.0,29226.0,281.0,0.2783480462601793,176.0,934.0,1832.0,633.0,0.7050229247929926,0.1490514377516226,584.0,0.0087593238896872,0.0295969342366386,5.177589634446987,119.0,92.0,57.0,0.0,74.0,106.0,67.0,0.0,44.0,102.0,12.0,11.0,7.0,22.0,20.0,32.0,45.0,0.0,52.0,0.0,3.0,3.0,0,benign/33f00922495ed2d27946e413bcc0b370.js,train
2469.0,215.9854191980559,0.0099199651957364,0.0112513782938409,110.0,533268.0,62.0,0.0014570534890524,50.0,208.0,114.0,221.0,0.0031185070171095,0.3054005708792003,26.0,0.9855044742981016,0.0015826938800003,3.435767270913737,0.0,91.0,12.0,0.0,2.0,7184.0,71.0,1.0,0.0,1.0,4.0,1.0,6.0,6.0,12.0,5.0,30.0,11.0,0.0,0.0,0.0,0.0,1,malicious/20160505_976bfa38d0dd431c2673edf78e99a795.js,train
23.0,6723.217391304348,0.0021146707709818,0.0064668830916874,36110.0,154634.0,17.0,0.701436941422973,16.0,72218.0,20.0,152875.0,0.2942884488534216,0.0004592297386915,10.0,0.0021599389526236,0.1759380213924492,3.2936881303305823,0.0,87.0,9.0,1.0,0.0,23.0,17981.0,40.0,0.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1,malicious/20160901_9045207ce1d7dde0fda8fee12b5f47d6.js,train
2.0,12936.5,0.0168515440807018,7.1889614656205305,204.0,25873.0,158.0,0.2475553665983844,266.0,408.0,1492.0,25872.0,0.7222973756425617,-0.0,688.0,0.0132957136783519,0.0482356124144861,5.2296554321908175,171.0,92.0,81.0,0.0,173.0,11.0,34.0,0.0,46.0,128.0,2.0,11.0,10.0,18.0,1.0,28.0,11.0,2.0,1.0,0.0,2.0,55.0,0,benign/40511667793475.0554283.js,train
3.0,49680.333333333336,0.0209405465610134,6.830335276870123,1648.0,149041.0,1543.0,0.3082037828516985,2024.0,3609.0,12230.0,148978.0,0.6473520709066632,0.0191922071672313,3586.0,0.0235035996806247,0.0574606987339054,5.431110691787224,930.0,143.0,593.0,0.0,894.0,22.0,715.0,0.0,540.0,672.0,63.0,199.0,13.0,430.0,16.0,86.0,165.0,6.0,1.0,2.0,14.0,110.0,0,benign/abfed62fa0f9c0571c9a12283bfac2f6.js,train
65.0,24.123076923076923,0.110969387755102,0.0,41.0,1568.0,45.0,0.228954081632653,34.0,76.0,60.0,183.0,0.5829081632653061,0.3776463213737002,18.0,0.0771683673469387,0.1434948979591837,5.770681717537232,0.0,86.0,24.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,6.0,2.0,2.0,1.0,6.0,1.0,2.0,12.0,0.0,0.0,0.0,0.0,1,malicious/20161111_93749f7b527ec88b72a046eae3ee672a.js,train
305.0,90.36065573770492,0.1062409288824383,0.9796806966618288,141.0,27560.0,179.0,0.0851959361393323,134.0,294.0,374.0,7104.0,0.695355587808418,0.1861442930683527,86.0,0.1132075471698113,0.26611030478955,5.788402888121415,9.0,94.0,65.0,2.0,11.0,108.0,92.0,4.0,3.0,3.0,9.0,6.0,3.0,23.0,10.0,10.0,14.0,4.0,5.0,0.0,0.0,1.0,1,malicious/20161109_6d4e1bad748507041f72008abd4e1357.js,train
22.0,1023.1363636363636,0.0057310409169665,0.3998400639744102,1842.0,22509.0,1139.0,0.5222799768981297,4498.0,7.0,153.0,6954.0,0.1869030165711493,-0.0,38.0,0.2850859656137545,0.0409613932204895,4.714348990246093,0.0,96.0,5.0,1.0,1.0,41.0,25.0,0.0,15.0,0.0,13.0,0.0,8.0,3.0,3684.0,11.0,7.0,0.0,9.0,0.0,0.0,0.0,1,malicious/20151216_6cbde671fadac28726f0f9e3599c51c1.js,train
447.0,54.39373601789709,0.2411367936168462,1.0693427654849057,240.0,24314.0,176.0,0.1193139754873735,58.0,446.0,588.0,1520.0,0.6130213045981739,0.3690258206773362,83.0,0.0265279262976063,0.0217570124208275,4.764381643215253,15.0,92.0,34.0,0.0,7.0,44.0,63.0,0.0,1.0,47.0,0.0,2.0,3.0,13.0,40.0,5.0,2.0,5.0,4.0,0.0,0.0,7.0,1,malicious/20160726_3e3becc86752b0298d8c0fd5ecaa7036.js,train
2.0,129886.0,0.0215265694532128,5.943673683075929,3289.0,259772.0,1663.0,0.2853964245569191,3336.0,6570.0,18214.0,259771.0,0.6608949386384984,0.1190287650168383,6007.0,0.0321820673513696,0.0542822167131176,5.406121193025544,1466.0,97.0,844.0,1.0,1387.0,31.0,668.0,0.0,782.0,342.0,12.0,182.0,14.0,356.0,162.0,279.0,135.0,24.0,1.0,8.0,29.0,128.0,0,benign/65751667795318.309082.js,train
